Speed,ACT,KF,SL_LT,SL_RT,SL1,Combined,source_file
0.8,1.107,3.52372,0.601092,0.603048,0.60207,2.073688,80kg_ACT(1)
1,0.470592,3.57766,0.692162,0.695443,0.6938025,1.7134192,80kg_ACT(1)
1.2,0.349992,2.7104,0.750773,0.750777,0.750775,1.2941552,80kg_ACT(1)
1.4,0.383519,3.01428,0.884825,0.837766,0.8612955,1.4358234,80kg_ACT(1)
1.6,0.559357,3.58485,0.879904,0.879543,0.8797235,1.7695542,80kg_ACT(1)
1.8,0.977233,3.69967,0.852492,0.844338,0.848415,2.0662078,80kg_ACT(1)
0.8,1.77332,6.90242,0.52988,0.535325,0.5326025,3.82496,140kg_ACT(1)
1,1.55456,6.28631,0.680373,0.662867,0.67162,3.44726,140kg_ACT(1)
1.2,1.37742,4.47853,0.794491,0.798356,0.7964235,2.617864,140kg_ACT(1)
1.4,1.18864,4.58549,0.836697,0.836762,0.8367295,2.54738,140kg_ACT(1)
1.6,1.5427,5.43063,0.965639,0.959858,0.9627485,3.097872,140kg_ACT(1)
1.8,1.78595,6.22185,0.962784,0.962965,0.9628745,3.56031,140kg_ACT(1)
0.8,1.00437,3.06685,0.614539,0.621284,0.6179115,1.829362,80kg_ACT(0.6)+KF(0.4)
1,0.661444,2.80752,0.673517,0.668609,0.671063,1.5198744,80kg_ACT(0.6)+KF(0.4)
1.2,0.529859,2.2462,0.699246,0.701314,0.70028,1.2163954,80kg_ACT(0.6)+KF(0.4)
1.4,0.466312,2.40557,0.743993,0.75816,0.7510765,1.2420152,80kg_ACT(0.6)+KF(0.4)
1.6,0.748822,2.33779,0.80784,0.804164,0.806002,1.3844092,80kg_ACT(0.6)+KF(0.4)
1.8,1.42347,2.63368,0.811865,0.804383,0.808124,1.907554,80kg_ACT(0.6)+KF(0.4)
0.8,1.42884,2.53449,0.546009,0.544733,0.545371,1.8711,140kg_ACT(0.6)+KF(0.4)
1,1.3588,2.52541,0.645954,0.650876,0.648415,1.825444,140kg_ACT(0.6)+KF(0.4)
1.2,1.1747,2.37362,0.714162,0.714562,0.714362,1.654268,140kg_ACT(0.6)+KF(0.4)
1.4,1.36127,2.63676,0.729709,0.729836,0.7297725,1.871466,140kg_ACT(0.6)+KF(0.4)
1.6,1.37914,2.65245,0.772673,0.771402,0.7720375,1.888464,140kg_ACT(0.6)+KF(0.4)
1.8,1.56552,2.90904,0.854266,0.858095,0.8561805,2.102928,140kg_ACT(0.6)+KF(0.4)
0.8,1.80326,3.28826,0.566637,0.57405,0.587657,2.39726,Apple_ACT(0.6)+KF(0.4)
1,1.29749,2.71307,0.669696,0.675545,0.6726205,1.863722,Apple_ACT(0.6)+KF(0.4)
1.2,1.24414,2.67676,0.789995,0.79608,0.7930375,1.817188,Apple_ACT(0.6)+KF(0.4)
1.4,1.35782,2.52001,0.699672,0.696375,0.6980235,1.822696,Apple_ACT(0.6)+KF(0.4)
1.6,1.68657,2.86355,0.817058,0.79932,0.808189,2.157362,Apple_ACT(0.6)+KF(0.4)
1.8,2.06882,2.50697,0.787629,0.779835,0.783732,2.24408,Apple_ACT(0.6)+KF(0.4)
0.8,1.59938,2.9086,0.572201,0.574433,0.573317,2.123068,Pear_ACT(0.6)+KF(0.4)
1,1.29598,2.57398,0.632651,0.636336,0.6344935,1.80718,Pear_ACT(0.6)+KF(0.4)
1.2,1.20504,2.62052,0.74018,0.760604,0.750392,1.771232,Pear_ACT(0.6)+KF(0.4)
1.4,1.38364,2.57128,0.717737,0.712304,0.7150205,1.858696,Pear_ACT(0.6)+KF(0.4)
1.6,1.40584,2.47034,0.775006,0.768103,0.7715545,1.83164,Pear_ACT(0.6)+KF(0.4)
1.8,1.9421,2.40708,0.777924,0.771617,0.7747705,2.128092,Pear_ACT(0.6)+KF(0.4)
