Index,80kg_ACT(0.0)+KF(1.0),80kg_ACT(0.1)+KF(0.9),80kg_ACT(0.2)+KF(0.8),80kg_ACT(0.3)+KF(0.7),80kg_ACT(0.4)+KF(0.6),80kg_ACT(0.5)+KF(0.5),80kg_ACT(0.6)+KF(0.4),80kg_ACT(0.7)+KF(0.3),80kg_ACT(0.8)+KF(0.2),80kg_ACT(0.9)+KF(0.1),80kg_ACT(1.0)+KF(0.0),REF
1,10.93612584,10.42502825,3.022252026,11.21962118,8.206031632,9.249504647,8.150829264,11.70884126,12.27767159,10.18382077,9.885152084,8.413114398
2,9.005777089,8.977736721,3.178329783,10.40265003,8.088039517,9.512942769,8.416092438,10.72590365,11.73112968,9.302498508,10.3122578,10.36716691
3,7.027889281,7.573289126,3.232705961,10.0423183,8.228949384,9.974116207,8.867552955,10.41678506,11.44812498,9.770540206,11.07887643,12.23247378
4,5.554521393,8.100150181,3.821812296,10.20764162,8.909545866,10.85618136,9.728662851,13.19110489,11.7315407,13.16460752,12.42910742,14.10599341
5,5.269527373,9.961815558,6.076382781,12.25209852,10.94216775,11.81120868,10.63582712,17.13602183,14.13318217,17.38293809,13.91832016,15.76913719
6,5.924406025,11.6430579,8.856967994,15.07281064,13.94025027,13.87282441,11.92341201,20.66294236,17.56382255,20.72826037,16.28605307,17.58056266
7,6.488724848,11.97148282,10.65957257,17.54017535,16.69331868,15.9950672,13.6009289,22.58408964,21.00505896,22.20542069,18.59477356,19.32208858
8,6.176605492,10.55457011,10.72049412,18.9266374,18.4040783,18.18518529,15.50258253,23.04182653,23.50033593,22.37132134,20.87462539,20.80077608
9,4.553424339,7.7344468,9.045713798,19.21072297,18.92818803,19.98452998,17.23570104,22.97982682,24.93208933,22.26683301,22.82921754,22.23171355
10,1.346305795,3.765801665,5.960430788,18.77273937,18.61904473,21.06590252,18.3143657,22.8620549,25.75184154,22.167534,24.18032799,23.51012859
11,-2.194217982,-0.644363418,1.708412902,17.92847321,17.81333345,21.49326585,18.63214349,22.73060101,26.30993729,22.117992,24.96317992,24.38363171
12,-3.025704668,-1.943398454,-2.371188103,16.90776194,16.6145973,21.50589627,18.38283185,22.78192251,26.69993229,22.36006075,25.35157516,25.18388747
13,-3.115929933,-0.998270704,-3.009413054,16.17055722,15.05178319,21.32645427,17.90885814,23.17066271,26.9844038,22.97362068,25.57340538,25.70072455
14,-2.747379537,1.10032347,-2.630800818,15.99532385,13.35571719,21.15714177,17.57655093,23.78353479,27.24475925,23.55848998,25.78751133,25.94869756
15,-1.938054885,2.668005226,-1.226577081,16.15913654,11.89024901,21.13835169,17.51659537,24.11116213,27.43489789,23.57129516,25.97140096,25.96694087
16,-0.822766414,3.157436159,0.761410095,16.08098376,10.93866263,21.22131018,17.53819006,23.72071786,27.42836974,22.74013295,25.9866861,25.82589224
17,0.347933845,2.774725955,2.69177638,15.34694934,10.49091214,21.23114335,17.35446023,22.67523248,27.01796957,21.29858962,25.71133287,25.32989764
18,1.358412964,1.770371566,4.075518961,14.07414025,10.24905963,20.96117571,16.79153412,21.33644647,26.13745139,19.78740278,25.10197902,24.73513748
19,2.10900081,0.247681938,4.943653372,12.72939986,9.813847385,20.32797368,15.86096156,20.08381156,24.87362587,18.32365092,24.20876947,24.04269777
20,2.616342012,-1.010800686,5.337569137,11.49371105,9.205931138,19.39562893,14.7420968,18.92237229,23.39231698,16.81975962,23.10792317,23.25001838
21,2.904893855,-1.252777218,5.554799233,10.34930095,8.748832071,18.2853161,13.61910707,17.75255998,21.82182713,15.20205365,21.85791129,22.28459901
22,2.973290016,-0.991716459,5.704915364,9.210779101,8.422692294,17.1005361,12.55683528,16.4814572,20.18141797,13.39202159,20.49492612,21.21960655
23,2.791240153,-0.558052529,5.815403285,7.980887859,7.996202585,15.9085282,11.52266301,15.01926544,18.42651484,11.29725585,19.0367018,19.9444272
24,2.257819291,-0.4338899,5.850022313,6.543166732,7.375075372,14.71679301,10.45598686,13.29231506,16.50935939,8.819026985,17.47449001,18.77671967
25,1.202046451,-0.788239877,5.703330263,4.741282135,6.608839259,13.46850735,9.298645908,11.25411103,14.4028355,5.862667552,15.78961439,17.67007673
26,-0.515709562,-1.342158637,5.279205775,2.400778265,5.791356602,12.101289,7.983981549,8.851965569,12.07346879,2.334819274,13.97918741,16.5601023
27,-1.793772667,-1.84165026,4.489047302,-0.611743216,4.926542219,10.58584277,6.44306312,6.024471018,9.464856478,-1.513422147,12.04541634,15.40358056
28,-2.326192371,-2.227102546,3.254285799,-2.281829128,3.957811615,8.905559469,4.610965659,2.871327634,6.510123034,-2.742594235,9.984579796,14.46779359
29,-2.635230141,-2.577757647,1.501693637,-2.821015791,2.824530826,7.034492849,2.424867317,-0.134784292,3.24198814,-2.929209656,7.788485864,13.44846502
30,-2.802784672,-2.905323098,-0.770085167,-3.163585436,1.495830019,4.936774605,-0.157868228,-1.542878852,0.008381255,-3.040174809,5.457352925,12.35887744
31,-2.843913525,-3.141739439,-1.90925858,-3.429543057,-0.087137655,2.592636926,-1.851047926,-1.599401158,-1.573473988,-3.120188068,3.057071353,11.37052276
32,-2.774375827,-3.24165519,-2.430346834,-3.611788004,-1.401583851,0.123913359,-2.181739324,-1.236772236,-1.836032697,-3.138079227,0.65293143,10.53219091
33,-2.593362446,-3.229996276,-2.638096028,-3.709316239,-1.967700949,-1.430880911,-2.18937049,-0.593270054,-1.800290647,-3.184196928,-1.229761524,9.647308098
34,-2.419207857,-2.797855576,-2.756956571,-3.745921016,-2.307630685,-1.787309492,-2.112249961,0.071456099,-1.633702672,-3.252811321,-1.742084985,8.753730994
35,-2.403997957,-1.87577378,-2.858855333,-3.756094256,-2.591317396,-1.912379706,-1.99411876,0.480485768,-1.221362148,-3.330328856,-1.915876192,7.970913732
36,-2.514720603,-0.849156141,-2.974823925,-3.770392764,-2.858079997,-1.966281386,-2.058334391,0.488732297,-1.006353603,-3.424558816,-2.007811034,7.187045721
37,-2.693740575,0.068456135,-3.059860698,-3.80538329,-3.101182286,-1.96386205,-2.163000686,0.0140165,-1.073935233,-3.540059313,-2.095644911,6.475323428
38,-2.917318005,0.573525216,-3.173403679,-3.868274867,-3.33498754,-2.070568639,-2.326907398,-0.843111495,-1.318057464,-3.675290768,-2.205523528,5.944650742
39,-3.176474997,0.458318903,-3.318877001,-3.958087264,-3.538139717,-2.216893311,-2.536108492,-1.529149474,-1.613475109,-3.82299901,-2.340130374,5.42030435
40,-3.38660819,-0.418108202,-3.453089308,-4.065866938,-3.80822788,-2.391049419,-2.763256002,-1.985778872,-1.945990166,-3.973754326,-2.487348515,5.022962946
41,-3.492866224,-1.458060219,-3.569263869,-4.189698708,-4.050138405,-2.575486369,-2.997830107,-2.312406405,-2.281078941,-4.107385464,-2.621439907,4.701546015
42,-3.606184932,-2.100601949,-3.661601033,-4.312637035,-4.25350426,-2.738371499,-3.222497756,-2.48489888,-2.529138959,-4.229265615,-2.683258947,4.553781822
43,-3.608910421,-2.449025778,-3.701738401,-4.435100401,-4.383293617,-2.834976529,-3.398479491,-2.646238714,-2.694182395,-4.339445303,-2.69937022,4.645765383
44,-3.040510031,-2.735405167,-3.725654801,-4.533166867,-4.487930516,-2.901551715,-3.498849016,-2.702804428,-2.769074069,-4.409825213,-2.684012686,4.783398229
45,-1.907660229,-2.698990699,-3.724802709,-4.656096227,-4.53840966,-2.941894411,-3.555558774,-2.66725864,-2.757927418,-4.463238121,-2.626461616,4.90860571
46,-0.479437849,-1.982407739,-3.729894403,-4.752238424,-4.557471935,-2.959561197,-3.577048782,-2.446222328,-2.576616105,-4.50794184,-2.520298473,5.414613059
47,1.133423514,-0.91199827,-3.772675593,-4.548911167,-4.509390473,-2.957336833,-3.581820898,-1.939372885,-2.143685754,-4.379464051,-2.240406157,5.948684155
48,2.798371246,0.289888534,-3.562465996,-3.508924684,-3.740575868,-2.91502383,-3.52017561,-1.094062454,-1.447549416,-3.474363366,-1.862384452,6.737931483
49,4.196035959,1.567312881,-2.614016747,-1.965929937,-2.097266311,-2.782516515,-2.846654623,0.0945526,-0.493627208,-1.954774456,-1.239977013,7.78895896
50,5.558676055,2.882999039,-1.200654852,-0.264438897,-0.048358006,-2.258007197,-1.496794213,1.590166375,0.695743515,-0.156086285,-0.073812538,8.919887082
51,6.958544266,4.219253346,0.372482547,1.452368306,2.1447712,-1.16795749,0.157135575,3.343666709,2.084031004,1.758031276,1.406902322,10.37541435
52,8.461444421,5.609319113,1.981943392,3.203182888,4.436535507,0.37541775,1.905052529,5.320992539,3.716700928,3.753019648,3.180262533,12.0716027
53,10.08326608,7.080536569,3.688327312,5.246768244,7.120774766,2.156706233,3.886287051,7.652426112,5.908381376,6.103279181,5.265089733,13.93423548
54,11.52047698,8.609408717,5.58428525,7.315221485,10.36943228,3.752523012,6.152931058,10.78883166,8.333835352,9.465562923,7.271127167,16.23785166
55,12.59142001,10.6131251,7.606254107,9.209907048,13.92920823,5.136115893,8.262487234,14.60279934,10.89940895,13.34791683,9.074231621,18.64543721
56,13.79112452,12.84499073,10.13993802,11.41775568,18.08389289,6.657599399,10.03311246,18.39644148,13.85717591,16.99361533,10.90724419,21.29387513
57,15.34419646,14.85026628,12.82121482,13.81062231,22.48934995,8.320776111,11.65834471,21.80969327,16.91585085,20.06939685,12.89251712,24.55979258
58,17.02281749,16.44586186,15.25686676,16.05875013,26.55347828,10.00064249,13.63484682,24.77122947,19.80921138,22.61108899,15.00672582,27.28993741
59,18.58766325,17.73758989,17.3940732,18.08072335,30.00976539,11.70582993,15.96314551,27.44386555,22.51574469,24.79909818,17.26093136,30.60664962
60,19.9886394,19.03990992,19.39009831,19.95027308,32.74925459,13.52617482,18.40872279,29.93220165,25.13309822,26.59294941,19.69370318,34.31348917
61,21.40072836,21.15999605,21.35641726,21.76550594,35.20575477,15.49518856,20.82629658,31.99760954,27.63608802,28.19684079,22.27219912,37.98976982
62,23.76994483,24.25773454,23.43284915,23.8777495,37.73285279,17.86194073,23.31687774,33.81353295,30.01380546,30.08210458,24.9712574,41.29820972
63,27.27259179,28.53149292,26.08786119,26.63245109,40.62918148,20.6388094,25.84930042,35.81759159,32.18065841,32.89730295,27.84185638,45.03631714
64,32.12660862,34.02506855,29.51056232,30.32038296,43.67014294,24.08490076,28.78079485,38.60365468,34.48138445,37.00225915,31.13602135,48.41636829
65,37.70540427,40.15560395,33.82195285,34.54618939,46.42730703,28.1718143,32.2553768,42.28615177,37.22199576,41.84947421,34.86580092,51.83824319
66,43.27577195,46.22069551,38.61346694,38.83289311,48.75606316,32.93997175,36.27204578,46.18896369,40.56950624,46.59722586,39.05345642,55.06110579
67,48.7275555,51.72896639,43.26738379,43.0698283,51.12569768,38.04927288,40.31047373,49.71754324,44.07566952,50.85134198,43.47583599,57.8625109
68,54.00724959,56.75714872,47.61029111,47.10247357,53.6030789,42.80591552,44.0533317,52.92304724,47.26844765,54.79231042,47.52772824,60.50947952
69,58.80399671,61.60051396,51.74244586,50.85139245,55.78839764,46.8960902,47.51915727,55.96233922,50.21689611,58.44745961,50.95869159,62.4597099
70,62.98868725,66.15332465,55.57514219,54.31318218,57.59673156,50.58073587,50.6723448,58.62234443,52.9854397,61.55679529,53.9013715,64.50942928
71,66.54615606,70.20376287,58.89630857,57.36197294,59.15187181,53.98647574,53.36688841,60.66346524,55.35938601,63.98322327,56.44763624,65.76955504
72,69.36200801,73.72216002,61.63004465,59.80884465,60.42606737,56.88161752,55.57021862,62.10865683,57.20146779,65.76564534,58.44662528,66.76179282
73,71.30305893,76.64621623,63.7719895,61.59707951,61.29243588,59.10720455,57.29960289,63.02240343,58.56083226,66.91188977,59.8070895,67.25731195
74,72.32908305,78.78642353,65.26976841,62.72431319,61.68228754,60.74598943,58.4978135,63.34440066,59.42085097,67.33555461,60.60846234,67.49109964
75,72.41592766,79.94690124,66.03268237,63.10554337,61.58502166,61.8760675,59.09714974,63.0074563,59.68497054,67.00200698,60.8892787,67.24519867
76,71.56194541,80.06489859,66.01292073,62.68126824,60.96872385,62.42110739,59.08800266,62.04414701,59.3336997,66.00171795,60.59667101,66.62942391
77,69.85015337,79.23720371,65.25809751,61.47441979,59.76895565,62.26641249,58.51530113,60.53283676,58.41399494,64.46971107,59.7069393,65.74974811
78,67.41379615,77.57097033,63.81183109,59.53416577,57.95182739,61.44689849,57.39882134,58.55543511,56.95303477,62.68800688,58.24704262,64.53471447
79,64.42614075,75.09902703,61.70094839,56.92386021,55.51770076,60.05249987,55.74081993,56.20944577,54.96363826,60.50070511,56.25916871,62.94356955
80,60.81741297,71.87917041,58.98423407,53.87501146,52.46519634,58.17509707,53.59454326,53.61901111,52.49093556,57.81793804,53.75950399,61.27938934
81,56.57671857,68.02291861,55.78590539,50.32501853,48.77266885,55.86423508,51.13988231,50.67795968,49.63076506,54.76960735,50.73791206,59.00885588
82,51.74194659,63.58938964,52.21722323,46.14467517,44.42415192,52.98107546,48.30971852,47.2816232,46.45445158,51.33044192,47.21938941,56.78218394
83,46.33051445,58.55924164,48.06680601,41.45975742,39.46868674,49.56179351,44.97948468,43.43688703,43.01200038,47.29580932,43.25665505,54.38573694
84,40.30733421,52.87236264,43.34275355,36.35581086,33.99718036,45.68426255,41.17130259,39.0728693,39.19918612,42.58575601,38.9376449,50.86406782
85,33.71991679,46.51096321,38.11244953,30.81004875,28.20369093,41.35770306,36.88933185,34.13051037,34.98988899,37.3025879,34.21081866,48.01837842
86,26.7655146,39.49945086,32.40660645,24.90074968,22.18390618,36.5335214,32.12913542,28.70247178,30.42859344,31.54975181,29.08469353,44.75244694
87,19.71520092,31.92220119,26.30398162,18.87764352,16.12490963,31.24289509,26.92101128,22.94291464,25.5937792,25.43960756,23.67260727,41.19923609
88,12.88993952,23.92642241,20.03998458,13.04626262,10.37394151,25.63104564,21.40741238,17.05459523,20.60020398,19.16591957,18.13393317,37.30946292
89,6.652421403,15.79649635,13.90248981,7.714455378,5.249613979,19.87601837,15.84021256,11.32897714,15.63692367,13.01295014,12.6617317,33.26700767
90,1.341231117,7.905714911,8.187898086,3.152202916,0.993746569,14.17188843,10.49549305,6.063310846,10.94960728,7.296001981,7.493438773,29.36342417
91,-1.682007574,0.650680047,3.168213387,-0.429598525,-1.457495708,8.759700221,5.605757613,1.523355839,6.788323404,2.302787263,2.879416033,25.02813299
92,-1.614680189,-2.308300602,-0.853329985,-1.393981872,-1.422192434,3.886894826,1.354624083,-1.44582395,3.377268983,-1.357203518,-0.877815158,20.96077615
93,-0.78759407,-2.219529881,-1.623229289,-1.022086983,-0.67667062,-0.246360018,-1.42645785,-1.508731303,0.866154989,-1.621131612,-1.64615262,17.19695351
94,0.682856662,-1.640604565,-1.254938921,-0.027518625,0.65642765,-1.674906523,-1.520990683,-0.815355549,-0.573886211,-1.018542273,-1.389942301,13.62225064
95,2.340771899,-0.533624244,-0.29454667,1.346964343,2.263491809,-1.51915508,-0.964156068,0.509673968,-0.609412761,0.225586161,-0.633315451,10.51253197
96,4.086713882,0.769998564,1.018157348,2.935020563,4.056425238,-0.859371615,0.143371014,2.159312331,0.202574144,1.831936728,0.447176723,7.612894498
97,5.829950401,2.226088169,2.566149054,4.763040112,6.055685462,0.209693946,1.542725602,3.970304273,1.679093764,3.58747507,1.753640661,5.500430999
98,7.483110141,3.895704758,4.395394419,6.750906152,8.039735719,1.488805559,3.204190372,5.879286646,3.536099162,5.511497457,3.391902195,4.09731388
99,8.998686393,5.66394003,6.389257443,8.719425285,9.856305606,2.995140544,5.173432806,7.717012364,5.549913624,7.362073129,5.36530402,3.122980753
100,10.20733709,7.493850077,8.397230129,10.52530459,11.39073257,4.744644049,7.224947732,9.407669485,7.570633838,8.958730457,7.633707437,2.680467341
101,11.03390208,9.301313619,10.30466538,12.06949228,12.55320682,6.655229247,9.249125212,10.85360676,9.439103917,10.24260082,10.07617613,2.774936061
